"proj_id","risk_spectrum","spec_code","proj_retail_type"
"M0312_2556","","CPF","R"
"M0312_2563","","","H"
"M0313_2556","","FIF,SPF","R"
"M0313_2562","RS4","","R"
"M0314_2556","","SPF","R"
"M0314_2562","RS4","","R"
"M0315_2547","","LTF","R"
"M0315_2554","","FIF,SPF","R"
"M0315_2556","","SPF","R"
"M0315_2562","RS4","","R"
"M0316_2559","","SPF","H"
"M0316_2560","","","R"
"M0317_2560","","","R"
"M0317_2561","","FED","R"
"M0318_2558","","FIF,SPF","H"
"M0318_2559","","SPF","H"
"M0318_2561","RS4","","R"
"M0318_2564","","","B"
"M0319_2558","","FIF,SPF","H"
"M0319_2559","","SPF","R"
"M0319_2561","RS4","","R"
"M0320_2562","RS4","","A"
"M0320_2563","","","H"
"M0322_2555","","CPF","R"
"M0323_2556","","CPF","R"
"M0324_2554","","SPF","R"
"M0324_2555","","FIF,SPF","R"
"M0324_2556","","SPF","R"
"M0324_2557","","FIF,SPF","H"
"M0325_2555","","FIF,SPF","R"
"M0325_2556","","SPF","R"
"M0325_2557","","CPF,SPF","R"
"M0325_2558","","SPF","R"
"M0326_2549","","",""
